Index,Character,Script
0,MELFI,Mr. Soprano'?
1,MELFI,Have a seat.
2,MELFI,"My understanding from your family physician, Dr. Cusamano, is you collapsed? Were unable to breathe? Possibly a panic attack?"
3,TOMMY,They said it was a panic attack -- because all the neurological work and blood came back negative. They sent me here.
4,MELFI,You don't agree you had a panic attack?
5,MELFI,How are you feeling now?
6,TOMMY,Now? Fine. I' back at work.
7,MELFI,What line of work are you in?
8,TOMMY,Waste management consultant.
9,TOMMY,"Look, it's impossible for me to talk to a psychiatrist."
10,MELFI,Any thoughts at all on why you blacked out?
11,TOMMY,"I don't know. Stress, maybe?"
12,MELFI,Stress? About what?
13,TOMMY,"Well, I once heard some guy use this expression, 'The sun setting over the empire?'"
14,TOMMY,"That morning of the day. I got sick? I'd been thinking: it's good to be in a thing from the ground floor. I came too late for that, I know. But lately I'm getting the feeling Imight be in at the end. That the best is over."
15,MELFI,"Many Americans, I think, feel this.	*"
16,TOMMY,Take my father. He never reached the heights like me. But in ways he had it better. He had his people -- they had their standards. They had pride. Today what do we got?
17,MELFI,Did you have this feeling of loss more acutely in the hours before you collapsed?
18,TOMMY,"I dunno. Couple months before all this these two wild ducks had landed in my pool. Amazing. From Canada or someplace, I don't know It was mating season."
19,TOMMY,Yum. Yum.
20,TOMMY,"My daughter's friend was there to drive my daughter, Meadow, to school."
21,HUNTER,"Meadow, your father with those ducks."
22,CARMELA,"Have something more than just apple juice, ladies. You need brain food for school."
23,HUNTER,The male and female duck just made a home in your pool and 'did it'? Weird.
24,CARMELA,"Girls, you want some of last night's sfogliatell'?"
25,MEADOW,Get out of here with that fat.
26,CARMELA,"Oh, have a bite."
27,MEADOW,Wait -- like Italian pastry is brain food?
28,HUNTER,Bon Jovi? Hello?
29,HUNTER,"How do you stay so skinny, Mrs. Soprano?"
30,CARMELA,Him. With those ducks.
31,TOMMY,Don't you worry. I'll make you a better ramp.
32,TOMMY,Kids! Come here!
33,TOMMY,"Hey, kids!"
34,TOMMY,Look! They're trying to fly
35,KIDS,"Nice, dad."
36,HUNTER,It is so cool you're going to be able to come to Aspen with my family at Christmas. Last year at Aspen? I saw Skeet Ulrich. As close as from where you're sitting.
37,MEADOW,Omigod
38,TOMMY,My wife feels this friend of Meadow's is a bad influence.
39,CARMELA,"Miss Meadow, we made a deal -- you keep your school grades up and you keep your curfew between now and Christmas -- then you get to go"
40,MEADOW,I know that.
41,TOMMY,"Happy birthday, son."
42,CARMELA,"You're going to be home tonight for Tommy Jr.'s party, right? Birdman. Hello?"
43,TOMMY,I'll get home from work early.
44,CARMELA,"I wasn't talking about work.	*"
45,TOMMY,This isn't going to work. I can't talk about my personal life.
46,MELFI,"It's hard for everybody.	*"
47,TOMMY,"You don't understand.	*"
48,MELFI,Finish telling me about the day you collapsed.
49,TOMMY,"I rode to work with my nephew, Christopher he's learning the business."
50,TOMMY,He's an example of-what I was saying before --
